profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther1,languageOther2,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
writer,en,color1,11,male,usa,5f5eb22e58c9fb7782a6e90c,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""angry""}]",20240418-1013-25634,eng,usa,NA,NA,No,usa3,57,57,14,32
dental hygienist,en,color1,11,female,usa,65edddac674b5980782246d4,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""LR"",""ans"":100,""concept"":""peach""}]",20240418-1014-56996,eng,usa,NA,NA,No,usa3,41,41,3,37
Health specialist,en,color1,11,male,usa,656b46a0554ca892e2d3f1e9,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":82,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""DG"",""ans"":26,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""DY"",""ans"":78,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""DO"",""ans"":80,""concept"":""tree""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""mango""},{""tryOut"":4,""qualifier"":""least"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240418-1030-21272,eng,usa,eng,NA,No,usa3,47,49,3,8
Content Management,en,color1,11,female,usa,5ef981cf234db67251c1e0d7,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""happy""},{""tryOut"":3,""qualifier"":""most"",""color"":""DG"",""ans"":100,""concept"":""tree""}]",20240418-1113-18952,eng,usa,NA,NA,No,usa3,31,33,3,37
Computer Programmer,en,color1,11,male,usa,639e0331bc3cc615f5a3dd89,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""lightning""}]",20240418-1115-3136,eng,usa,eng,NA,No,usa3,57,57,9,36
Communications Manager at Nonprofit,en,color1,11,female,usa,60fe090e38f969ce1f8ee8a4,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":0,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":96,""concept"":""happy""}]",20240418-1118-25366,eng,usa,NA,NA,No,usa3,31,36,14,37
Program manager,en,color1,11,female,usa,612d227e68d8bf942e6091da,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":90,""concept"":""death""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":12,""concept"":""death""},{""tryOut"":3,""qualifier"":""most"",""color"":""MY"",""ans"":79,""concept"":""sick""}]",20240418-1123-42512,eng,usa,ger,NA,No,usa3,20,32,14,37
Technical Support,en,color1,11,male,usa,5b32c63da8327d0001002779,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":57,""concept"":""lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":77,""concept"":""safety""},{""tryOut"":4,""qualifier"":""least"",""color"":""SO"",""ans"":89,""concept"":""happy""},{""tryOut"":5,""qualifier"":""most"",""color"":""DB"",""ans"":87,""concept"":""justice""},{""tryOut"":6,""qualifier"":""least"",""color"":""LO"",""ans"":100,""concept"":""sandstorm""},{""tryOut"":7,""qualifier"":""most"",""color"":""SR"",""ans"":89,""concept"":""angry""},{""tryOut"":8,""qualifier"":""least"",""color"":""LO"",""ans"":84,""concept"":""peach""},{""tryOut"":9,""qualifier"":""most"",""color"":""BK"",""ans"":96,""concept"":""death""},{""tryOut"":10,""qualifier"":""least"",""color"":""LC"",""ans"":66,""concept"":""peace""},{""tryOut"":11,""qualifier"":""most"",""color"":""SO"",""ans"":87,""concept"":""mango""},{""tryOut"":12,""qualifier"":""least"",""color"":""A1"",""ans"":87,""concept"":""sad""},{""tryOut"":13,""qualifier"":""most"",""color"":""DG"",""ans"":76,""concept"":""tree""},{""tryOut"":14,""qualifier"":""least"",""color"":""SY"",""ans"":96,""concept"":""banana""},{""tryOut"":15,""qualifier"":""most"",""color"":""SG"",""ans"":78,""concept"":""sick""}]",20240418-1127-057,eng,usa,NA,NA,No,usa3,47,47,13,12
Sales,en,color1,11,female,usa,60706b67613f243aabd7f7bf,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""LY"",""ans"":83,""concept"":""mango""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""happy""},{""tryOut"":5,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""justice""},{""tryOut"":6,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""safety""},{""tryOut"":7,""qualifier"":""most"",""color"":""LB"",""ans"":100,""concept"":""peace""},{""tryOut"":8,""qualifier"":""least"",""color"":""SG"",""ans"":4,""concept"":""lightning""},{""tryOut"":9,""qualifier"":""most"",""color"":""SG"",""ans"":89,""concept"":""sick""},{""tryOut"":10,""qualifier"":""least"",""color"":""DR"",""ans"":94,""concept"":""angry""},{""tryOut"":11,""qualifier"":""most"",""color"":""DB"",""ans"":89,""concept"":""sad""},{""tryOut"":12,""qualifier"":""least"",""color"":""DP"",""ans"":7,""concept"":""sandstorm""},{""tryOut"":13,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""},{""tryOut"":14,""qualifier"":""least"",""color"":""SO"",""ans"":4,""concept"":""death""},{""tryOut"":15,""qualifier"":""most"",""color"":""DG"",""ans"":83,""concept"":""tree""}]",20240418-1148-42353,eng,usa,spa,NA,No,usa3,39,39,5,28
Chatbot Trainer,en,color1,11,female,usa,5e2f4ab6fb987e078bf5f68e,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""sad""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240418-1212-31232,eng,usa,eng,NA,No,usa3,51,51,14,37
